Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Export Product Share (%),World Growth (%),Longitude,Latitude
Malaysia,Angola,2021,Export,Fuels,0.48,0,42.71,18.5,-12.5
Malaysia,United Arab Emirates,2021,Export,Fuels,156119.5,6.11,-6.9,54.5,23.75
Malaysia,Argentina,2021,Export,Fuels,2010.88,1.01,50.38,-64,-34
Malaysia,American Samoa,2021,Export,Fuels,17133.63,91.97,,-169.4775,-14.2336
Malaysia,Australia,2021,Export,Fuels,3796301.12,44.76,24.79,135,-25
Malaysia,Belgium,2021,Export,Fuels,61530.63,3.98,52.53,4.5,50.75
Malaysia,Benin,2021,Export,Fuels,53.37,0.06,-7.39,2.25,9.5
Malaysia,Bangladesh,2021,Export,Fuels,1307337.65,57.88,,90,24
Malaysia,Bulgaria,2021,Export,Fuels,33.37,0.03,,25.25,42.6667
Malaysia,Bahrain,2021,Export,Fuels,22438.67,26.25,-64.48,50.55,26.0333
Malaysia,Brazil,2021,Export,Fuels,62072.54,5.99,38,-55,-10
Malaysia,Brunei,2021,Export,Fuels,786838.13,56.44,70.82,114.6667,4.5
Malaysia,Canada,2021,Export,Fuels,68.19,0,22.88,-113.6425,60.1086
Malaysia,Chile,2021,Export,Fuels,2119.82,0.94,35.18,-71,-30
Malaysia,China,2021,Export,Fuels,5368427.45,11.58,21.28,105,35
Malaysia,Cote d'Ivoire,2021,Export,Fuels,705.12,0.58,,-5,5
Malaysia,"Congo, Rep.",2021,Export,Fuels,1154.74,2.75,20.28,15.5,-1
Malaysia,Cook Islands,2021,Export,Fuels,145.64,45.21,,-159.785,-21.2483
Malaysia,Colombia,2021,Export,Fuels,713.54,0.45,30.78,-73.25,4
Malaysia,Comoros,2021,Export,Fuels,7.49,0.16,,44.4452,-12.2333
Malaysia,Costa Rica,2021,Export,Fuels,0.73,0,34.97,-84,10
Malaysia,Christmas Island,2021,Export,Fuels,59.55,1.35,,105.6667,-10.5
Malaysia,Cyprus,2021,Export,Fuels,213.37,1.49,,33,35
Malaysia,Germany,2021,Export,Fuels,28407.8,0.41,29.3,10.5,51.5
Malaysia,Dominican Republic,2021,Export,Fuels,7549.93,12.03,35.92,-70.6667,19
Malaysia,Algeria,2021,Export,Fuels,156.01,0.13,,3,28
Malaysia,Ecuador,2021,Export,Fuels,636.49,1.84,32.26,-78.25,-1.25
Malaysia,"Egypt, Arab Rep.",2021,Export,Fuels,32741.23,4.76,21.32,30,27
Malaysia,Fiji,2021,Export,Fuels,35646.64,33.69,7.52,178,-18
Malaysia,France,2021,Export,Fuels,139638.09,10.01,33.44,2,46
Malaysia,"Micronesia, Fed. Sts.",2021,Export,Fuels,6.95,0.55,,158.1619,6.9239
Malaysia,Gabon,2021,Export,Fuels,683.55,2.9,,11.75,-1
Malaysia,United Kingdom,2021,Export,Fuels,41454.9,1.76,44.45,54.7583,-2.6952
Malaysia,Ghana,2021,Export,Fuels,233589.98,40.97,,8.1,-1.2
Malaysia,Gibraltar,2021,Export,Fuels,1253.08,82.43,,-5.3525,36.1447
Malaysia,Guinea,2021,Export,Fuels,12.68,0.04,,-10.6667,10.8333
Malaysia,Equatorial Guinea,2021,Export,Fuels,100.43,1,,10.5,1.7
Malaysia,Guatemala,2021,Export,Fuels,1845.02,3.55,36.51,-90.25,15.5
Malaysia,"Hong Kong, China",2021,Export,Fuels,353525.15,1.91,13.1,114.1745,22.2781
Malaysia,Croatia,2021,Export,Fuels,134.57,0.46,,15.5,45.1667
Malaysia,Indonesia,2021,Export,Fuels,3574519.82,37.77,35.19,120,-5
Malaysia,India,2021,Export,Fuels,988374.65,9.06,27.78,79,22
Malaysia,"Iran, Islamic Rep.",2021,Export,Fuels,330.46,0.06,,53,32
Malaysia,Iraq,2021,Export,Fuels,331355.61,73.67,,44,33
Malaysia,Italy,2021,Export,Fuels,17805.25,1.03,45.4,12.8333,42.8333
Malaysia,Jordan,2021,Export,Fuels,59617.41,30.87,22.72,36,31
Malaysia,Japan,2021,Export,Fuels,4696372.31,25.85,21.11,139.7531,35.6853
Malaysia,Kenya,2021,Export,Fuels,114941.77,10.2,26.94,38,1
Malaysia,Cambodia,2021,Export,Fuels,101496.96,22.2,11.86,105,13
Malaysia,Kiribati,2021,Export,Fuels,0.18,0.01,,172.9839,1.4208
Malaysia,St. Kitts and Nevis,2021,Export,Fuels,33.05,14.49,,-62.75,17.3333
Malaysia,"Korea, Rep.",2021,Export,Fuels,1951876.17,21.48,26.07,127.75,36.5
Malaysia,Kuwait,2021,Export,Fuels,31666.83,17.25,13.92,47.75,29.5
Malaysia,Lao PDR,2021,Export,Fuels,436.71,1.6,10.48,105,18
Malaysia,Lebanon,2021,Export,Fuels,35.98,0.07,10.38,35.8333,33.8333
Malaysia,Liberia,2021,Export,Fuels,50.92,0.33,,-9.5,6.5
Malaysia,Libya,2021,Export,Fuels,115.85,0.6,,17,28
Malaysia,Sri Lanka,2021,Export,Fuels,220036.57,30.15,27.41,80.75,7.75
Malaysia,Lithuania,2021,Export,Fuels,27.7,0.07,,24,55.4167
Malaysia,Madagascar,2021,Export,Fuels,7034.49,5.08,,47,-20
Malaysia,Maldives,2021,Export,Fuels,22927.37,19,,73,3.2
Malaysia,Mexico,2021,Export,Fuels,10099.52,0.36,30.93,-102,23
Malaysia,Marshall Islands,2021,Export,Fuels,15.58,1.82,,-64.8097,32.2833
Malaysia,Malta,2021,Export,Fuels,14.85,0.06,14.88,14.4333,35.9167
Malaysia,Myanmar,2021,Export,Fuels,301150.9,46.05,2.83,96,21
Malaysia,Northern Mariana Islands,2021,Export,Fuels,10.63,1.16,,145.7558,15.2139
Malaysia,Mozambique,2021,Export,Fuels,203800.82,42.26,22.15,35,-18.25
Malaysia,Mauritius,2021,Export,Fuels,12067.74,14.65,17.53,57.5833,-20.3
Malaysia,Malawi,2021,Export,Fuels,31.49,0.45,10.09,34,-13.5
Malaysia,New Caledonia,2021,Export,Fuels,52264.76,84.29,,165.5,-21.5
Malaysia,Nigeria,2021,Export,Fuels,304706,33.51,38,8,10
Malaysia,Niue,2021,Export,Fuels,0.46,9.59,,-169.8667,-19.0333
Malaysia,Netherlands,2021,Export,Fuels,293376.66,3.9,34.65,5.75,52.25
Malaysia,Norway,2021,Export,Fuels,1.85,0,22.86,10,62
Malaysia,Nepal,2021,Export,Fuels,308.87,0.55,30.21,84,28
Malaysia,New Zealand,2021,Export,Fuels,154611.99,14.5,12.87,174,-42
Malaysia,Oman,2021,Export,Fuels,90866.07,31.26,30.12,57,21
Malaysia,Pakistan,2021,Export,Fuels,149046.77,10.3,36.87,70,30
Malaysia,Panama,2021,Export,Fuels,21074.99,14.6,,-80,9
Malaysia,Pitcairn,2021,Export,Fuels,46.21,22.54,,-130.1,-25.0667
Malaysia,Peru,2021,Export,Fuels,24131.75,12.64,40.3,-75.25,-10
Malaysia,Philippines,2021,Export,Fuels,790273.18,14.47,36.65,122.5614,13.4086
Malaysia,Papua New Guinea,2021,Export,Fuels,65833.25,19.29,,147,-6
