Year,Non-Energy,LPG,Diesel,Kerosene,Refinery Gas,ATF and AV Gas,Fuel Oil,Motor Petrol
,622,"1,362",7627,131,3,1574,1875,6387
2000,626,1392,8116,99,4,1762,1497,6827
2001,633,1542,8042,92,6,1785,1590,6948
2002,632,1437,8539,93,7,1852,1256,7360
2003,626,1542,9262,86,11,2056,1463,7839
2004,564,1510,8672,81,10,2010,1953,8211
2005,672,1519,8540,79,12,2153,1901,7517
2006,823,1474,9512,76,9,2155,2202,8600
2007,818,1475,9167,75,0,2112,1963,8842
2008,799,2506,8634,30,0,2120,1291,8766
2009,657,2920,8388,19,0,2380,478,9560
2010,1178,2892,8712,19,0,2553,414,8155
2011,743,2892,9410,38,0,2521,768,10843
2012,662,2946,9568,31,0,2998,329,12656
2013,592,2632,10161,23,0,3158,246,12705
2014,621,2261,9377,4,0,3134,498,12804
2015,650,3497,9254,5,0,3019,513,13411
2016,719,3514,9747,5,0,3220,579,13437
2017,789,3309,9756,6,0,3121,387,13041
2018,705,3017,10583,12,0,3261,446,13811
2019,613,3423,8516,32,0,1199,338,11188
2020,552,2637,8800,59,0,985,342,10529
2021,,,,,,,,
