Country,Year,CO2 emission per capita (tonnes),
Malaysia,2000,5.4,
Malaysia,2001,5.6,
Malaysia,2002,5.5,
Malaysia,2003,6.2,
Malaysia,2004,6.7,
Malaysia,2005,6.6,
Malaysia,2006,6.4,
Malaysia,2007,6.5,
Malaysia,2008,7,
Malaysia,2009,6.8,
Malaysia,2010,6.9,
Malaysia,2011,7,
Malaysia,2012,7.2,
Malaysia,2013,8,
Malaysia,2014,8,
Malaysia,2015,7.6,
Malaysia,2016,7.5,
Malaysia,2017,7.6,
Malaysia,2018,8.1,
Malaysia,2019,8.2,
Malaysia,2020,8.1,
Singapore,2000,11.9,
Singapore,2001,11.9,
Singapore,2002,11.3,
Singapore,2003,11.7,
Singapore,2004,11,
Singapore,2005,9.6,
Singapore,2006,9.4,
Singapore,2007,6.6,
Singapore,2008,9.7,
Singapore,2009,9,
Singapore,2010,8.3,
Singapore,2011,6.4,
Singapore,2012,9.4,
Singapore,2013,10,
Singapore,2014,9.4,
Singapore,2015,11,
Singapore,2016,7.1,
Singapore,2017,6.9,
Singapore,2018,8.6,
Singapore,2019,5.8,
Singapore,2020,9.3,
Brunei,2000,16,
Brunei,2001,15.2,
Brunei,2002,13.4,
Brunei,2003,15.8,
Brunei,2004,15.6,
Brunei,2005,14.8,
Brunei,2006,19.2,
Brunei,2007,21.3,
Brunei,2008,23.8,
Brunei,2009,19.8,
Brunei,2010,20.2,
Brunei,2011,23.8,
Brunei,2012,23.4,
Brunei,2013,18.5,
Brunei,2014,21.2,
Brunei,2015,16.5,
Brunei,2016,17.9,
Brunei,2017,21.6,
Brunei,2018,21.5,
Brunei,2019,24.5,
Brunei,2020,25.1,
Myanmar,2000,0.2,
Myanmar,2001,0.2,
Myanmar,2002,0.2,
Myanmar,2003,0.2,
Myanmar,2004,0.3,
Myanmar,2005,0.2,
Myanmar,2006,0.3,
Myanmar,2007,0.3,
Myanmar,2008,0.2,
Myanmar,2009,0.2,
Myanmar,2010,0.3,
Myanmar,2011,0.3,
Myanmar,2012,0.2,
Myanmar,2013,0.3,
Myanmar,2014,0.3,
Myanmar,2015,0.4,
Myanmar,2016,0.4,
Myanmar,2017,0.5,
Myanmar,2018,0.6,
Myanmar,2019,0.6,
Myanmar,2020,0.6,
Indonesia,2000,1.3,
Indonesia,2001,1.5,
Indonesia,2002,1.4,
Indonesia,2003,1.5,
Indonesia,2004,1.5,
Indonesia,2005,1.5,
Indonesia,2006,1.5,
Indonesia,2007,1.7,
Indonesia,2008,1.5,
Indonesia,2009,1.7,
Indonesia,2010,1.8,
Indonesia,2011,2,
Indonesia,2012,2.1,
Indonesia,2013,1.9,
Indonesia,2014,1.9,
Indonesia,2015,2.1,
Indonesia,2016,2.1,
Indonesia,2017,2.1,
Indonesia,2018,2.2,
