Reporter Name,Partner Name,Year,Trade Flow,Product Group,Longitude,Latitude,Export (US$ Thousand),Export Product Share (%),World Growth (%)
Malaysia,United Arab Emirates,2021,Export,Fuels,54.5,23.75,156119.5,6.11,-6.9
Malaysia,Argentina,2021,Export,Fuels,-64,-34,2010.88,1.01,50.38
Malaysia,American Samoa,2021,Export,Fuels,-169.4775,-14.2336,17133.63,91.97,
Malaysia,Australia,2021,Export,Fuels,135,-25,3796301.12,44.76,24.79
Malaysia,Belgium,2021,Export,Fuels,4.5,50.75,61530.63,3.98,52.53
Malaysia,Benin,2021,Export,Fuels,2.25,9.5,53.37,0.06,-7.39
Malaysia,Bangladesh,2021,Export,Fuels,90,24,1307337.65,57.88,
Malaysia,Bulgaria,2021,Export,Fuels,25.25,42.6667,33.37,0.03,
Malaysia,Bahrain,2021,Export,Fuels,50.55,26.0333,22438.67,26.25,-64.48
Malaysia,Brazil,2021,Export,Fuels,-55,-10,62072.54,5.99,38
Malaysia,Brunei,2021,Export,Fuels,114.6667,4.5,786838.13,56.44,70.82
Malaysia,Canada,2021,Export,Fuels,-113.6425,60.1086,68.19,0,22.88
Malaysia,Chile,2021,Export,Fuels,-71,-30,2119.82,0.94,35.18
Malaysia,China,2021,Export,Fuels,105,35,5368427.45,11.58,21.28
Malaysia,Cote d'Ivoire,2021,Export,Fuels,-5,5,705.12,0.58,
Malaysia,Democratic Republic of the Congo,2021,Export,Fuels,15.5,-1,1154.74,2.75,20.28
Malaysia,Cook Islands,2021,Export,Fuels,-159.785,-21.2483,145.64,45.21,
Malaysia,Colombia,2021,Export,Fuels,-73.25,4,713.54,0.45,30.78
Malaysia,Christmas Island,2021,Export,Fuels,105.6667,-10.5,59.55,1.35,
Malaysia,Northern Cyprus,2021,Export,Fuels,33,35,213.37,1.49,
Malaysia,Germany,2021,Export,Fuels,10.5,51.5,28407.8,0.41,29.3
Malaysia,Dominican Republic,2021,Export,Fuels,-70.6667,19,7549.93,12.03,35.92
Malaysia,Algeria,2021,Export,Fuels,3,28,156.01,0.13,
Malaysia,Ecuador,2021,Export,Fuels,-78.25,-1.25,636.49,1.84,32.26
Malaysia,"Egypt, Arab Rep.",2021,Export,Fuels,30,27,32741.23,4.76,21.32
Malaysia,Fiji,2021,Export,Fuels,178,-18,35646.64,33.69,7.52
Malaysia,France,2021,Export,Fuels,2,46,139638.09,10.01,33.44
Malaysia,Gabon,2021,Export,Fuels,11.75,-1,683.55,2.9,
Malaysia,United Kingdom,2021,Export,Fuels,54.7583,-2.6952,41454.9,1.76,44.45
Malaysia,Ghana,2021,Export,Fuels,8.1,-1.2,233589.98,40.97,
Malaysia,Gibraltar,2021,Export,Fuels,-5.3525,36.1447,1253.08,82.43,
Malaysia,Papua New Guinea,2021,Export,Fuels,-10.6667,10.8333,12.68,0.04,
Malaysia,Equatorial Guinea,2021,Export,Fuels,10.5,1.7,100.43,1,
Malaysia,Guatemala,2021,Export,Fuels,-90.25,15.5,1845.02,3.55,36.51
Malaysia,"Hong Kong, China",2021,Export,Fuels,114.1745,22.2781,353525.15,1.91,13.1
Malaysia,Croatia,2021,Export,Fuels,15.5,45.1667,134.57,0.46,
Malaysia,Indonesia,2021,Export,Fuels,120,-5,3574519.82,37.77,35.19
